model,seed,group,samples,sample_share,errors,error_rate,forward_errors,reverse_errors,forward_rate,forward_share_of_all_errors,forward_share_of_all_forward,true_duel_others,forward_given_true_duel_others,true_pass,reverse_given_true_pass
rotate,20260716,Others on the ball / CONTROL,3510,0.03622627488621234,1213,0.3455840455840456,868,93,0.2472934472934473,0.040945327609792914,0.0648390229326959,1059,0.8196411709159585,2214,0.04200542005420054
rotate,20260716,Others on the ball / CONTESTED,4284,0.04421463293804378,1456,0.33986928104575165,669,88,0.1561624649859944,0.031558092362847304,0.04997385523268843,1096,0.6104014598540146,1584,0.05555555555555555
rotate,20260716,Pass / CONTROL,38462,0.396961534095014,7790,0.2025375695491654,6383,716,0.16595600852789766,0.30109910844851173,0.4768058564278778,8772,0.72765617875057,29189,0.02452978861900031
rotate,20260716,Pass / CONTESTED,10626,0.10966962875808899,3451,0.32476943346508563,1790,767,0.168454733672125,0.08443794518609368,0.13371180996489132,3809,0.4699396166972959,5639,0.13601702429508777
rotate,20260716,Save attempt / CONTESTED,517,0.005335892910590251,241,0.4661508704061896,122,0,0.23597678916827852,0.005754988442851078,0.009113318891461867,123,0.991869918699187,280,0.0
rotate,20260716,Shot / DEAD_BALL,143,0.0014758852731419842,0,0.0,0,0,0.0,0.0,0.0,0,,0,
rotate,20260716,Shot / CONTESTED,1083,0.011177508746942441,62,0.057248384118190214,0,6,0.0,0.0,0.0,343,0.0,21,0.2857142857142857
rotate,20260717,ALL,96891,1.0,21613,0.2230650937651588,13083,2482,0.13502802117843762,0.6053301253874983,1.0,34607,0.37804490421013087,49055,0.050596269493425744
rotate,20260717,Pass + CONTROL,38462,0.396961534095014,7769,0.20199157610108678,6217,870,0.16164006031927616,0.2876509508166381,0.4751968203011542,8772,0.7087323301413588,29189,0.02980574874096406
rotate,20260717,Other anchors,58429,0.603038465904986,13844,0.23693713738041042,6866,1612,0.11751014051241677,0.31767917457086015,0.5248031796988458,25835,0.2657634991290884,19866,0.08114366253901138
rotate,20260717,Duel / CONTESTED,26790,0.276496269003313,5486,0.2047779022023143,2804,313,0.10466592011944756,0.1297367325220932,0.214323931819919,17036,0.1645926273773186,7048,0.044409761634506245
rotate,20260717,Foul / DEAD_BALL,1194,0.012323125986933772,30,0.02512562814070352,0,1,0.0,0.0,0.0,0,,4,0.25
rotate,20260717,Free Kick / DEAD_BALL,13,0.00013417138846745312,0,0.0,0,0,0.0,0.0,0.0,0,,0,
rotate,20260717,Free Kick / CONTROL,4608,0.04755859677369415,1061,0.2302517361111111,442,480,0.0959201388888889,0.02045065469856105,0.033784300236948714,1980,0.22323232323232323,2557,0.18771998435666798
rotate,20260717,Free Kick / CONTESTED,913,0.009422959820829592,226,0.2475355969331873,71,42,0.07776560788608981,0.0032850599176421596,0.005426889857066422,313,0.2268370607028754,383,0.10966057441253264
rotate,20260717,Goalkeeper leaving line / CONTESTED,198,0.0020435334551196704,78,0.3939393939393939,33,25,0.16666666666666666,0.0015268588349604405,0.0025223572575097455,73,0.4520547945205479,109,0.22935779816513763
rotate,20260717,Interruption / DEAD_BALL,4291,0.044286879070295486,171,0.03985085061757166,0,0,0.0,0.0,0.0,3,0.0,27,0.0
rotate,20260717,Offside / DEAD_BALL,253,0.002611181637097357,0,0.0,0,0,0.0,0.0,0.0,0,,0,
rotate,20260717,Others on the ball / DEAD_BALL,6,6.19252562157476e-05,0,0.0,0,0,0.0,0.0,0.0,0,,0,
rotate,20260717,Others on the ball / CONTROL,3510,0.03622627488621234,1255,0.3575498575498576,788,147,0.2245014245014245,0.03645953824087355,0.060230833906596344,1059,0.7440982058545798,2214,0.06639566395663957
rotate,20260717,Others on the ball / CONTESTED,4284,0.04421463293804378,1560,0.3641456582633053,546,81,0.12745098039215685,0.02526257345116365,0.04173354735152488,1096,0.4981751824817518,1584,0.05113636363636364
rotate,20260717,Pass / CONTROL,38462,0.396961534095014,7769,0.20199157610108678,6217,870,0.16164006031927616,0.2876509508166381,0.4751968203011542,8772,0.7087323301413588,29189,0.02980574874096406
rotate,20260717,Pass / CONTESTED,10626,0.10966962875808899,3672,0.3455674760022586,2075,516,0.19527573875399962,0.09600703280433073,0.15860276694947642,3809,0.5447624048306642,5639,0.09150558609682567
rotate,20260717,Save attempt / CONTESTED,517,0.005335892910590251,243,0.4700193423597679,107,1,0.20696324951644102,0.004950724101235367,0.008178552319804326,123,0.8699186991869918,280,0.0035714285714285713
rotate,20260717,Shot / DEAD_BALL,143,0.0014758852731419842,0,0.0,0,0,0.0,0.0,0.0,0,,0,
rotate,20260717,Shot / CONTESTED,1083,0.011177508746942441,62,0.057248384118190214,0,6,0.0,0.0,0.0,343,0.0,21,0.2857142857142857
